Station Code,Station Name,City,State,Country,Latitude,Longitude,elevation_m,Instrument Name,Status,Data Link
Site 01,Background SouthWest1,Mooresville,IN,USA,39.5805N,86.4207W,256,CRDS,Decommissioned,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 02,Suburban East,Indianapolis,IN,USA,39.7978N,86.0183W,267,CRDS,Ongoing,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 03,Downtown,Indianapolis,IN,USA,39.7833N,86.1652W,226,CRDS,Ongoing,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 04,Commercial South,Greenwood,IN,USA,39.5925N,86.1009W,249,CRDS,Decommissioned,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 05,Suburban NorthWest,Indianapolis,IN,USA,39.8947N,86.2011W,251,CRDS,Decommissioned,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 06,Commercial NorthEast,Indianapolis,IN,USA,39.9201N,86.0280W,251,CRDS,Decommissioned,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 07,Suburban West,Indianapolis,IN,USA,39.7739N,86.2724W,241,CRDS,Ongoing,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 08,Suburban NorthEast,Noblesville,IN,USA,40.0411N,85.9734W,245,CRDS,Decommissioned,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 09,Background East,Maxwell,IN,USA,39.8627N,85.7448W,277,CRDS,Ongoing,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 10,Downtown South,Indianapolis,IN,USA,39.7181N,86.1436W,223,CRDS,Ongoing,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 11,Suburban North,Indianapolis,IN,USA,39.8403N,86.1763W,214,CRDS,Decommissioned,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 12,Commercial East,Indianapolis,IN,USA,39.7637N,86.0403W,254,CRDS,Decommissioned,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 13,Rural SouthEast,Indianapolis,IN,USA,39.7173N,85.9417W,248,CRDS,Decommissioned,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 14,Background NorthWest,New Ross,IN,USA,39.9971N,86.7396W,264,CRDS,Ongoing,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
Site 15,Background SouthWest15,Clayton,IN,USA,39.6376N,86.4779W,258,CRDS,Ongoing,https://www.datacommons.psu.edu/download/meteorology/influx/influx-tower-data/wmo-x2019-scale/level1.zip
